Date,type,title_id,from_day,status,year,year_iso,quarter,month,week_iso,day_of_month,day_of_week
2013-04-09,,,,Рабочий,2013,2013,2,4,15,9,2
2013-04-10,,,,Рабочий,2013,2013,2,4,15,10,3
2013-04-11,,,,Рабочий,2013,2013,2,4,15,11,4
2013-04-12,,,,Рабочий,2013,2013,2,4,15,12,5
2013-04-13,,,,Выходной,2013,2013,2,4,15,13,6
2013-04-14,,,,Выходной,2013,2013,2,4,15,14,7
2013-04-15,,,,Рабочий,2013,2013,2,4,16,15,1
2013-04-16,,,,Рабочий,2013,2013,2,4,16,16,2
2013-04-17,,,,Рабочий,2013,2013,2,4,16,17,3
2013-04-18,,,,Рабочий,2013,2013,2,4,16,18,4
2013-04-19,,,,Рабочий,2013,2013,2,4,16,19,5
2013-04-20,,,,Выходной,2013,2013,2,4,16,20,6
2013-04-21,,,,Выходной,2013,2013,2,4,16,21,7
2013-04-22,,,,Рабочий,2013,2013,2,4,17,22,1
2013-04-23,,,,Рабочий,2013,2013,2,4,17,23,2
2013-04-24,,,,Рабочий,2013,2013,2,4,17,24,3
2013-04-25,,,,Рабочий,2013,2013,2,4,17,25,4
2013-04-26,,,,Рабочий,2013,2013,2,4,17,26,5
2013-04-27,,,,Выходной,2013,2013,2,4,17,27,6
2013-04-28,,,,Выходной,2013,2013,2,4,17,28,7
2013-04-29,,,,Рабочий,2013,2013,2,4,18,29,1
2013-04-30,2,,,Рабочий,2013,2013,2,4,18,30,2
2013-05-01,1,5,,Праздничный,2013,2013,2,5,18,1,3
2013-05-02,1,,,Праздничный,2013,2013,2,5,18,2,4
2013-05-03,1,,,Праздничный,2013,2013,2,5,18,3,5
2013-05-04,,,,Выходной,2013,2013,2,5,18,4,6
2013-05-05,,,,Выходной,2013,2013,2,5,18,5,7
2013-05-06,,,,Рабочий,2013,2013,2,5,19,6,1
2013-05-07,,,,Рабочий,2013,2013,2,5,19,7,2
2013-05-08,2,,,Рабочий,2013,2013,2,5,19,8,3
2013-05-09,1,6,,Праздничный,2013,2013,2,5,19,9,4
2013-05-10,1,,,Праздничный,2013,2013,2,5,19,10,5
2013-05-11,,,,Выходной,2013,2013,2,5,19,11,6
2013-05-12,,,,Выходной,2013,2013,2,5,19,12,7
2013-05-13,,,,Рабочий,2013,2013,2,5,20,13,1
2013-05-14,,,,Рабочий,2013,2013,2,5,20,14,2
2013-05-15,,,,Рабочий,2013,2013,2,5,20,15,3
2013-05-16,,,,Рабочий,2013,2013,2,5,20,16,4
2013-05-17,,,,Рабочий,2013,2013,2,5,20,17,5
2013-05-18,,,,Выходной,2013,2013,2,5,20,18,6
2013-05-19,,,,Выходной,2013,2013,2,5,20,19,7
2013-05-20,,,,Рабочий,2013,2013,2,5,21,20,1
2013-05-21,,,,Рабочий,2013,2013,2,5,21,21,2
2013-05-22,,,,Рабочий,2013,2013,2,5,21,22,3
2013-05-23,,,,Рабочий,2013,2013,2,5,21,23,4
2013-05-24,,,,Рабочий,2013,2013,2,5,21,24,5
2013-05-25,,,,Выходной,2013,2013,2,5,21,25,6
2013-05-26,,,,Выходной,2013,2013,2,5,21,26,7
2013-05-27,,,,Рабочий,2013,2013,2,5,22,27,1
2013-05-28,,,,Рабочий,2013,2013,2,5,22,28,2
2013-05-29,,,,Рабочий,2013,2013,2,5,22,29,3
2013-05-30,,,,Рабочий,2013,2013,2,5,22,30,4
2013-05-31,,,,Рабочий,2013,2013,2,5,22,31,5
2013-06-01,,,,Выходной,2013,2013,2,6,22,1,6
2013-06-02,,,,Выходной,2013,2013,2,6,22,2,7
2013-06-03,,,,Рабочий,2013,2013,2,6,23,3,1
2013-06-04,,,,Рабочий,2013,2013,2,6,23,4,2
2013-06-05,,,,Рабочий,2013,2013,2,6,23,5,3
2013-06-06,,,,Рабочий,2013,2013,2,6,23,6,4
2013-06-07,,,,Рабочий,2013,2013,2,6,23,7,5
2013-06-08,,,,Выходной,2013,2013,2,6,23,8,6
2013-06-09,,,,Выходной,2013,2013,2,6,23,9,7
2013-06-10,,,,Рабочий,2013,2013,2,6,24,10,1
2013-06-11,2,,,Рабочий,2013,2013,2,6,24,11,2
2013-06-12,1,7,,Праздничный,2013,2013,2,6,24,12,3
2013-06-13,,,,Рабочий,2013,2013,2,6,24,13,4
2013-06-14,,,,Рабочий,2013,2013,2,6,24,14,5
2013-06-15,,,,Выходной,2013,2013,2,6,24,15,6
2013-06-16,,,,Выходной,2013,2013,2,6,24,16,7
2013-06-17,,,,Рабочий,2013,2013,2,6,25,17,1
2013-06-18,,,,Рабочий,2013,2013,2,6,25,18,2
2013-06-19,,,,Рабочий,2013,2013,2,6,25,19,3
2013-06-20,,,,Рабочий,2013,2013,2,6,25,20,4
2013-06-21,,,,Рабочий,2013,2013,2,6,25,21,5
2013-06-22,,,,Выходной,2013,2013,2,6,25,22,6
2013-06-23,,,,Выходной,2013,2013,2,6,25,23,7
2013-06-24,,,,Рабочий,2013,2013,2,6,26,24,1
2013-06-25,,,,Рабочий,2013,2013,2,6,26,25,2
2013-06-26,,,,Рабочий,2013,2013,2,6,26,26,3
2013-06-27,,,,Рабочий,2013,2013,2,6,26,27,4
2013-06-28,,,,Рабочий,2013,2013,2,6,26,28,5
2013-06-29,,,,Выходной,2013,2013,2,6,26,29,6
2013-06-30,,,,Выходной,2013,2013,2,6,26,30,7
2013-07-01,,,,Рабочий,2013,2013,3,7,27,1,1
2013-07-02,,,,Рабочий,2013,2013,3,7,27,2,2
2013-07-03,,,,Рабочий,2013,2013,3,7,27,3,3
2013-07-04,,,,Рабочий,2013,2013,3,7,27,4,4
2013-07-05,,,,Рабочий,2013,2013,3,7,27,5,5
2013-07-06,,,,Выходной,2013,2013,3,7,27,6,6
2013-07-07,,,,Выходной,2013,2013,3,7,27,7,7
2013-07-08,,,,Рабочий,2013,2013,3,7,28,8,1
2013-07-09,,,,Рабочий,2013,2013,3,7,28,9,2
2013-07-10,,,,Рабочий,2013,2013,3,7,28,10,3
2013-07-11,,,,Рабочий,2013,2013,3,7,28,11,4
2013-07-12,,,,Рабочий,2013,2013,3,7,28,12,5
2013-07-13,,,,Выходной,2013,2013,3,7,28,13,6
2013-07-14,,,,Выходной,2013,2013,3,7,28,14,7
2013-07-15,,,,Рабочий,2013,2013,3,7,29,15,1
2013-07-16,,,,Рабочий,2013,2013,3,7,29,16,2
2013-07-17,,,,Рабочий,2013,2013,3,7,29,17,3
2013-07-18,,,,Рабочий,2013,2013,3,7,29,18,4
2013-07-19,,,,Рабочий,2013,2013,3,7,29,19,5
2013-07-20,,,,Выходной,2013,2013,3,7,29,20,6
2013-07-21,,,,Выходной,2013,2013,3,7,29,21,7
2013-07-22,,,,Рабочий,2013,2013,3,7,30,22,1
2013-07-23,,,,Рабочий,2013,2013,3,7,30,23,2
2013-07-24,,,,Рабочий,2013,2013,3,7,30,24,3
2013-07-25,,,,Рабочий,2013,2013,3,7,30,25,4
2013-07-26,,,,Рабочий,2013,2013,3,7,30,26,5
2013-07-27,,,,Выходной,2013,2013,3,7,30,27,6
2013-07-28,,,,Выходной,2013,2013,3,7,30,28,7
2013-07-29,,,,Рабочий,2013,2013,3,7,31,29,1
2013-07-30,,,,Рабочий,2013,2013,3,7,31,30,2
2013-07-31,,,,Рабочий,2013,2013,3,7,31,31,3
2013-08-01,,,,Рабочий,2013,2013,3,8,31,1,4
2013-08-02,,,,Рабочий,2013,2013,3,8,31,2,5
2013-08-03,,,,Выходной,2013,2013,3,8,31,3,6
2013-08-04,,,,Выходной,2013,2013,3,8,31,4,7
2013-08-05,,,,Рабочий,2013,2013,3,8,32,5,1
2013-08-06,,,,Рабочий,2013,2013,3,8,32,6,2
2013-08-07,,,,Рабочий,2013,2013,3,8,32,7,3
2013-08-08,,,,Рабочий,2013,2013,3,8,32,8,4
2013-08-09,,,,Рабочий,2013,2013,3,8,32,9,5
2013-08-10,,,,Выходной,2013,2013,3,8,32,10,6
2013-08-11,,,,Выходной,2013,2013,3,8,32,11,7
2013-08-12,,,,Рабочий,2013,2013,3,8,33,12,1
2013-08-13,,,,Рабочий,2013,2013,3,8,33,13,2
2013-08-14,,,,Рабочий,2013,2013,3,8,33,14,3
2013-08-15,,,,Рабочий,2013,2013,3,8,33,15,4
2013-08-16,,,,Рабочий,2013,2013,3,8,33,16,5
2013-08-17,,,,Выходной,2013,2013,3,8,33,17,6
2013-08-18,,,,Выходной,2013,2013,3,8,33,18,7
2013-08-19,,,,Рабочий,2013,2013,3,8,34,19,1
2013-08-20,,,,Рабочий,2013,2013,3,8,34,20,2
2013-08-21,,,,Рабочий,2013,2013,3,8,34,21,3
